Country,Province/Territory,District/Agency,Region Type,Date,Indicators,Values,Unit
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,38.9,Percetage
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,31.8,Percetage
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,18.6,Percetage
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,29.2,Percetage
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,63.3,Percetage
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,26.1,Percetage
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,50.9,Percetage
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,40,Percetage
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,54.5,Percetage
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,42,Percetage
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,35.5,Percetage
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,41.2,Percetage
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools,41.2,Percetage
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,3022,Number
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,355,Number
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,349,Number
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,120,Number
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,166,Number
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,199,Number
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,171,Number
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,65,Number
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,367,Number
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,288,Number
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,296,Number
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,335,Number
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools,311,Number
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,17.3,Percetage
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,11.8,Percetage
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,4,Percetage
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,9.5,Percetage
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,43.8,Percetage
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,9.5,Percetage
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,39.6,Percetage
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,15.2,Percetage
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,23.7,Percetage
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,25.5,Percetage
