Country,Province/Territory,District/Agency,Region Type,Date,Indicator,Value,Unit
Pakistan,FATA,FATA,Province,2012,Estimated Literacy Rate 2013 (%) Both Sex ,,Percentage
Pakistan,FATA,F.R D.I Khan ,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,14.29,Percentage
Pakistan,FATA,F.R Lakki,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,12.01,Percentage
Pakistan,FATA,F.R Tank,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,10.91,Percentage
Pakistan,FATA,S. Waziristan,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,20.61,Percentage
Pakistan,FATA,N. Waziristan ,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,16.49,Percentage
Pakistan,FATA,Kurram ,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,28.48,Percentage
Pakistan,FATA,F.R Bannu,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,14.95,Percentage
Pakistan,FATA,Bajaur,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,17.39,Percentage
Pakistan,FATA,Mohmand,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,18.79,Percentage
Pakistan,FATA,F.R Kohat,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,41.59,Percentage
Pakistan,FATA,Orakzai,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,19.75,Percentage
Pakistan,FATA,Khyber,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,39.19,Percentage
Pakistan,FATA,F.R Peshawar,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,41.63,Percentage
Pakistan,FATA,Total,District,2012,Estimated Literacy Rate 2013 (%) Both Sex ,24.05,Percentage
Pakistan,FATA,FATA,Province,2012,Estimated Literacy Rate 2013 (%) Male,,Percentage
Pakistan,FATA,F.R D.I Khan ,District,2012,Estimated Literacy Rate 2013 (%) Male,22.38,Percentage
Pakistan,FATA,F.R Lakki,District,2012,Estimated Literacy Rate 2013 (%) Male,20.85,Percentage
Pakistan,FATA,F.R Tank,District,2012,Estimated Literacy Rate 2013 (%) Male,17.18,Percentage
Pakistan,FATA,S. Waziristan,District,2012,Estimated Literacy Rate 2013 (%) Male,35.05,Percentage
Pakistan,FATA,N. Waziristan ,District,2012,Estimated Literacy Rate 2013 (%) Male,28.85,Percentage
Pakistan,FATA,Kurram ,District,2012,Estimated Literacy Rate 2013 (%) Male,36.27,Percentage
Pakistan,FATA,F.R Bannu,District,2012,Estimated Literacy Rate 2013 (%) Male,13.37,Percentage
Pakistan,FATA,Bajaur,District,2012,Estimated Literacy Rate 2013 (%) Male,27.95,Percentage
Pakistan,FATA,Mohmand,District,2012,Estimated Literacy Rate 2013 (%) Male,32.43,Percentage
Pakistan,FATA,F.R Kohat,District,2012,Estimated Literacy Rate 2013 (%) Male,57.14,Percentage
Pakistan,FATA,Orakzai,District,2012,Estimated Literacy Rate 2013 (%) Male,32.73,Percentage
Pakistan,FATA,Khyber,District,2012,Estimated Literacy Rate 2013 (%) Male,63.93,Percentage
Pakistan,FATA,F.R Peshawar,District,2012,Estimated Literacy Rate 2013 (%) Male,68.33,Percentage
Pakistan,FATA,Total,District,2012,Estimated Literacy Rate 2013 (%) Male,36.66,Percentage
Pakistan,FATA,FATA,Province,2012,Estimated Literacy Rate 2013 (%) Female,,Percentage
Pakistan,FATA,F.R D.I Khan ,District,2012,Estimated Literacy Rate 2013 (%) Female,5.88,Percentage
Pakistan,FATA,F.R Lakki,District,2012,Estimated Literacy Rate 2013 (%) Female,1.81,Percentage
Pakistan,FATA,F.R Tank,District,2012,Estimated Literacy Rate 2013 (%) Female,2.28,Percentage
Pakistan,FATA,S. Waziristan,District,2012,Estimated Literacy Rate 2013 (%) Female,7.45,Percentage
Pakistan,FATA,N. Waziristan ,District,2012,Estimated Literacy Rate 2013 (%) Female,4.26,Percentage
Pakistan,FATA,Kurram ,District,2012,Estimated Literacy Rate 2013 (%) Female,21.03,Percentage
Pakistan,FATA,F.R Bannu,District,2012,Estimated Literacy Rate 2013 (%) Female,1.07,Percentage
Pakistan,FATA,Bajaur,District,2012,Estimated Literacy Rate 2013 (%) Female,4.75,Percentage
Pakistan,FATA,Mohmand,District,2012,Estimated Literacy Rate 2013 (%) Female,5.72,Percentage
Pakistan,FATA,F.R Kohat,District,2012,Estimated Literacy Rate 2013 (%) Female,24.09,Percentage
Pakistan,FATA,Orakzai,District,2012,Estimated Literacy Rate 2013 (%) Female,5.15,Percentage
Pakistan,FATA,Khyber,District,2012,Estimated Literacy Rate 2013 (%) Female,16.13,Percentage
Pakistan,FATA,F.R Peshawar,District,2012,Estimated Literacy Rate 2013 (%) Female,16.66,Percentage
Pakistan,FATA,Total,District,2012,Estimated Literacy Rate 2013 (%) Female,10.5,Percentage
Pakistan,FATA,FATA,Province,2012,Literacy Gender Parity Index,,Index
Pakistan,FATA,F.R D.I Khan ,District,2012,Literacy Gender Parity Index,0.26,Index
Pakistan,FATA,F.R Lakki,District,2012,Literacy Gender Parity Index,0.09,Index
Pakistan,FATA,F.R Tank,District,2012,Literacy Gender Parity Index,0.13,Index
Pakistan,FATA,S. Waziristan,District,2012,Literacy Gender Parity Index,0.21,Index
Pakistan,FATA,N. Waziristan ,District,2012,Literacy Gender Parity Index,0.15,Index
Pakistan,FATA,Kurram ,District,2012,Literacy Gender Parity Index,0.58,Index
Pakistan,FATA,F.R Bannu,District,2012,Literacy Gender Parity Index,0.08,Index
Pakistan,FATA,Bajaur,District,2012,Literacy Gender Parity Index,0.17,Index
Pakistan,FATA,Mohmand,District,2012,Literacy Gender Parity Index,0.18,Index
Pakistan,FATA,F.R Kohat,District,2012,Literacy Gender Parity Index,0.42,Index
Pakistan,FATA,Orakzai,District,2012,Literacy Gender Parity Index,0.16,Index
Pakistan,FATA,Khyber,District,2012,Literacy Gender Parity Index,0.25,Index
Pakistan,FATA,F.R Peshawar,District,2012,Literacy Gender Parity Index,0.24,Index
Pakistan,FATA,Total,District,2012,Literacy Gender Parity Index,0.29,Index
Pakistan,FATA,FATA,Province,2012,Numer of Boys Mosque Schools,195,Index
Pakistan,FATA,F.R D.I Khan ,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Numer of Boys Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Numer of Girls Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Numer of Total Mosque Schools,195,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Numer of Total Mosque Schools,,Number
