_id,number,country,date,narrative,town,location,deaths,deaths_min,deaths_max,civilians,injuries,children,tweet_id,bureau_id,bij_summary_short,bij_link,target,lat,lon,names/0
55c79e711cbee48856a30886,1,Yemen,2002-11-03T00:00:00.000Z,"In the first known US targeted assassination using a drone, a CIA Predator struck a car, killing 6 people.",,Marib Province,6,6,6,0,,,278544689483890688,YEM001,"In the first known US targeted assassination using a drone, a CIA Predator struck a car killing six al Qaeda suspects.",http://www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/,,15.47467,45.322755,"Qa'id Salim Sinan al-Harithi, Abu Ahmad al-Hijazi, Salih Hussain Ali al-Nunu, Awsan Ahmad al-Tarihi, Munir Ahmad Abdallah al-Sauda, Adil Nasir al-Sauda'"
55c79e711cbee48856a30887,2,Pakistan,2004-06-17T00:00:00.000Z,"The first known fatal US drone strike inside Pakistan killed 6-8 people, including 2 children.",Wana,South Waziristan,6-8,6,8,2,1,2,278544750867533824,B1,"First known drone strike in Pakistan kills at least six, including infamous Taliban leader Nek Mohammad and two children. Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,Nek Mohammed,32.30512565,69.57624435,"Nek Mohammad, Fakhar Zaman, Azmat Khan, Marez Khan, Shahrukh Khan, Leetak, Sher Zaman Ashrafkhel"
55c79e711cbee48856a30888,3,Pakistan,2005-05-08T00:00:00.000Z,2 people killed in a Predator strike which reportedly targeted Haitham al-Yemeni's mobile phone.,Toorikhel,North Waziristan,2,2,2,,,,278544812255367168,B2,"Two killed, including Haitham al-Yemeni an al Qaeda explosives expert, near Mir Ali, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,Haitham al-Yemeni,32.98677989,70.26082993,"Haitham al-Yemeni, Samiullah Khan"
55c79e721cbee48856a30889,4,Pakistan,2005-11-05T00:00:00.000Z,"A failed strike destroyed Abu Hamza Rabia's house and killed 8 people, including 3 young girls.",Mosaki,North Waziristan,8,8,8,3-8,1,3,278544854483628032,B3,"Failed strike against Abu Hamza Rabia (""al Qaeda's Number 3"") kills eight including three children.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,Abu Hamza Rabia,32.99988191,70.34082413,
55c79e721cbee48856a3088a,5,Pakistan,2005-12-01T00:00:00.000Z,"5 people were killed, including 2 children, when drones fired on a house 'for about 8 minutes.'",Haisori,North Waziristan,5,5,5,2,,2,278544895789133825,B4,"Syrian Abu Hamza Rabia, the senior al Qaeda operative targeted in B3, was killed with two other foreign militants and two boys, aged eight and 17.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,Abu Hamza Rabia,33.00866349,70.04196167,"Abu Hamza Rabia, Suleiman al-Moghrabi, Amer Azizi, Noor Aziz, Abdul Wasit"
55c79e721cbee48856a3088b,6,Pakistan,2006-01-06T00:00:00.000Z,8 people were reported killed including 2 women and 1 child.,Saidgai,North Waziristan,8,8,8,3-4,9,1,278544937409200129,B4c,"An attack on an unnamed alleged al Qaeda official left eight killed, including two women and at least one child.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,,33.09499311,70.05912781,
55c79e721cbee48856a3088c,7,Pakistan,2006-01-13T00:00:00.000Z,"18 civilians, including 6 children, were killed when a US Predator fired on 3 houses.",Damadola,Bajaur Agency,13-22,13,22,10-18,,5,278545016044011520,B5,"A strike targeted a possible militant commanders' meeting. But main target Ayman al Zawahiri was absent. Up to 22 people died, most or all civilians, including at least five children.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,Ayman al-Zawahiri; Abu Khabab al-Masri; Abd Rahman al-Masri al-Maghribi; Abu Ubeidah al-Masri; Marwan al-Suri; Khalid Habib; Abdul Hadi al-Iraqi,34.81549453,71.4969635,
55c79e721cbee48856a3088d,8,Pakistan,2006-10-30T00:00:00.000Z,"80-83 civilians, including 69 children, reported killed.",Chenegai,Bajaur Agency,81-83,81,83,80-82,3,69,278545055214612482,B6,"An attack on a madrassa (allegedly a ""Taliban training camp"") killed 81-83, including at least 69 children.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,Maulvi Liaqat,34.83634999,71.49215698,"Maulvi Liaqat, Mohammad Tahir (16), Maulvi Khaleefa, Azizul Wahab (15), Fazal Wahab (16), Ziauddin (16), Mohammad Yunus (16), Fazal Hakim (19), Ilyas (13), Sohail (07), Asadullah (09), Shoaib (08), Khalilullah (09), Noor Mohammad (08), Khalid (12), Saifullah (09), Razi Mohammad (16), Mashooq Jan (15), Nawab (17), Sultanat Khan (16), Mohammad Yaas Khan (16), Qari Alamzeb (14), Ghulam Nabi (21), Ziaur Rahman (17), Abdullah (18), Ikramullah (17), Inayatur Rahman (16), Shahbuddin (15), Yahya Khan (16), Rahatullah, (17), Khan (21), Mohammad Salim (11), Shahjehan (15), Gul Sher Khan (15), Bakht Muneer (14), Numair (14), Mashooq Khan (16), Ihsanullah (16), Luqman (12), Salman (16), Jannatullah (13), Ismail (12), Taseel Khan (18), Zaheeruddin (16), Qari Ishaq (19), Jamshed Khan (14), Alam Nabi (11), Qari Abdul Karim (19), Rahmatullah (14), Abdus Samad (17), Siraj (16), Saeedullah (17), Abdul Waris (16), Darvesh (13), Ameer Said (15), Shaukat (14), Inayatur Rahman (17), Ziaur Rahman (13), Noor Mohammad (15), Naeemullah (17),        Hizbullah (10), Kitab Gul (12), Wilayat Khan (11), Zabihullah (16), Shehzad Gul (11), Shabir (15), Qari Sharifullah (17), Shafiullah (16), Nimatullah (14), Shakirullah (16), Talha (08), Jamroz Khan, Fazal Wahab (18), Rahman (13), Wali-ur-Rahman (17), Iftikhar (17), Inayatullah (15), Adnan (16), Najibullah (13)"
55c79e721cbee48856a3088e,9,Pakistan,2007-01-16T00:00:00.000Z,"8 people, many thought to be innocent woodcutters, were killed in a likely drone/helicopter strike.",Zamazola,South Waziristan,8,8,8,8,,0-1,278545097790980096,B7,"Initial claims of 30 Taliban killed were lowered to eight deaths, who villagers insist were all innocent woodcutters.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,,32.83575063,69.55581665,"Katoor Khan, Taj Alam"
55c79e721cbee48856a3088f,10,Pakistan,2007-04-27T00:00:00.000Z,An attack on a religious school killed four people and injured three.,Saidgai,North Waziristan,3-4,3,4,4,9,,278545157916356608,B8,"Attack on a house and madrassa killed 3-4, reportedly all named civilians.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,Maulvi Noor Mohammed,33.09499311,70.05912781,
